output_type,label,histone_mark,raw_score,quantile_score
CHIP_HISTONE,spinal cord,H3K4me1,-0.09468174,-0.97174054
DNASE,glutamatergic neuron,,-0.15294123,-0.961175
CHIP_HISTONE,neuronal stem cell,H2BK5ac,-0.02020359,-0.9417692
CHIP_HISTONE,neuronal stem cell,H3K18ac,-0.023843765,-0.94045055
DNASE,cerebellar cortex,,0.0940299,0.93191016
DNASE,cerebellum,,0.06359577,0.92720795
DNASE,neuronal stem cell,,-0.049479008,-0.90298235
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K4me1,0.025665283,0.8986329
CHIP_HISTONE,layer of hippocampus,H3K4me1,0.03154564,0.8986329
CHIP_HISTONE,cingulate gyrus,H3K4me1,0.029548645,0.8940993
DNASE,dorsolateral prefrontal cortex,,-0.10042477,-0.8940993
CHIP_HISTONE,substantia nigra,H3K4me1,0.028087616,0.8917613
DNASE,posterior cingulate gyrus,,-0.09652352,-0.88937473
CHIP_HISTONE,neuron,H2AFZ,1646.0,0.8815574
CHIP_HISTONE,caudate nucleus,H3K4me1,0.028008461,0.87668186
CHIP_HISTONE,motor neuron,H3K27ac,-0.009823799,-0.86842537
CHIP_HISTONE,neuron,H3K4me3,733.0,0.8663228
CHIP_HISTONE,cingulate gyrus,H3K27ac,0.02087307,0.8655608
DNASE,cerebellar cortex,,22.807373,0.86362827
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K27ac,0.019592285,0.8626385
DNASE,brain,,-0.06719208,-0.8596574
CHIP_HISTONE,substantia nigra,H3K36me3,-0.01089859,-0.8596574
CHIP_HISTONE,motor neuron,H3K4me1,-0.018773079,-0.85351515
CHIP_HISTONE,caudate nucleus,H3K27ac,0.02084446,0.850352
CHIP_HISTONE,neuronal stem cell,H2AK5ac,-0.010569572,-0.84383667
CHIP_HISTONE,layer of hippocampus,H3K27ac,0.019853592,0.84383667
CHIP_HISTONE,cingulate gyrus,H3K36me3,-0.0095644,-0.8404825
CHIP_HISTONE,neuronal stem cell,H3K4me1,-0.018173218,-0.8404825
CHIP_HISTONE,substantia nigra,H3K27ac,0.016342163,0.8404825
DNASE,brain,,18.664337,0.84039664
CHIP_HISTONE,motor neuron,H3K4me1,2203.5,0.8341097
DNASE,spinal cord,,18.44777,0.82762593
CHIP_HISTONE,neuron,H3K4me1,-0.026839256,-0.8189428
CHIP_HISTONE,spinal cord,H3K4me3,990.75,0.8175265
DNASE,spinal cord,,-0.044950962,-0.8151075
DNASE,neuronal stem cell,,23.297256,0.8105418
CHIP_HISTONE,neuronal stem cell,H2AFZ,-0.021038055,-0.8072176
CHIP_HISTONE,caudate nucleus,H3K36me3,-0.008983612,-0.8072176
CHIP_HISTONE,neuronal stem cell,H3K4me2,-0.01356411,-0.8072176
CHIP_HISTONE,neuron,H3K4me1,1708.0,0.7883657
CHIP_HISTONE,substantia nigra,H3K4me1,2125.5,0.7883657
DNASE,head of caudate nucleus,,-0.056171894,-0.77719164
CHIP_HISTONE,brain,H3K27me3,-0.0097332,-0.77719164
CHIP_HISTONE,astrocyte,H3K36me3,1486.5,0.768479
DNASE,putamen,,19.887177,0.768479
DNASE,frontal cortex,,0.027516127,0.7631148
CHIP_HISTONE,motor neuron,H3K4me3,-0.0048360825,-0.7631148
CHIP_HISTONE,caudate nucleus,H3K4me1,2105.5,0.7559361
DNASE,renal cortex interstitium,,-0.040092945,-0.7482746
DNASE,left renal cortex interstitium,,-0.03755617,-0.7482746
CHIP_HISTONE,spinal cord,H3K36me3,-0.014564514,-0.7431538
CHIP_HISTONE,substantia nigra,H3K4me3,1406.75,0.7385101
DNASE,right renal cortex interstitium,,-0.032788754,-0.7326457
CHIP_HISTONE,layer of hippocampus,H3K36me3,-0.0068454742,-0.7326457
CHIP_HISTONE,cingulate gyrus,H3K4me1,1972.0,0.7249247
CHIP_HISTONE,motor neuron,H3K4me3,746.0,0.7249247
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K4me3,1189.5,0.72030014
CHIP_HISTONE,neuronal stem cell,H2AFZ,1380.5,0.72030014
CHIP_HISTONE,layer of hippocampus,H3K4me1,1964.0,0.7156284
DNASE,renal cortical epithelial cell,,8.308884,0.71090984
CHIP_HISTONE,dorsolateral prefrontal cortex,H3K36me3,-0.005748749,-0.7105387
