gene_name,label,raw_score,dir_T,quantile_score,brain
KIF21A,Purkinje cell,0.009218693,UP,0.9944446,False
ENSG00000199571,"CD8-positive, alpha-beta T cell",-0.008939743,DOWN,-0.99197406,False
LINC02555,adrenal gland,-0.0075125694,DOWN,-0.9872979,False
LRRK2-DT,lower leg skin,-0.0063695908,DOWN,-0.988674,False
ENSG00000286576,"CD8-positive, alpha-beta T cell",-0.0060138702,DOWN,-0.9729977,False
REDIC1,natural killer cell,-0.0059843063,DOWN,-0.97174054,False
ENSG00000229899,parietal lobe,0.005045414,UP,0.989182,False
LINC02471,dorsolateral prefrontal cortex,-0.0049648285,DOWN,-0.9840279,True
ABCD2,CD14-positive monocyte,-0.004807472,DOWN,-0.94045055,False
RPL30P13,HT-29,-0.0045814514,DOWN,-0.96905065,False
ENSG00000285732,GM12878,-0.0044965744,DOWN,-0.9239011,False
SLC2A13,trophoblast,-0.0042226315,DOWN,-0.9637244,False
ENSG00000270273,"CD4-positive, alpha-beta T cell",0.004003525,UP,0.93191016,False
RPL7AP74,"CD8-positive, alpha-beta T cell",-0.0039014816,DOWN,-0.91866904,False
ENSG00000289310,stomach,0.0035777092,UP,0.91309357,False
MUC19,lower leg skin,-0.0034217834,DOWN,-0.93631864,False
LRRK2,GM23338,0.0028214455,UP,0.92219406,False
