restaurant_id,n_obs,n_products,n_days,r_squared,rmse_log_points,n_components,share_products_repriced,share_single_obs_products,median_obs_per_day,index_cv,flag_flat_index,flag_disconnected,flag_volatile_index,flag_sparse_days,flag_many_single_obs
1,577,42,48,1.0,3.994955831513158e-15,1,0.0,0.09523809523809523,12.0,2.6016882591827375e-15,True,False,False,False,False
2,390,55,45,0.9989907618054644,0.0170353017804481,1,0.43636363636363634,0.09090909090909091,8.0,0.02888085370811,False,False,False,False,False
3,592,83,56,0.9999494637137984,0.0040641964234155,1,0.012048192771084338,0.18072289156626506,10.0,0.002684325031752549,False,False,False,False,False
4,901,63,48,0.999284010026666,0.0167089187402015,1,0.015873015873015872,0.031746031746031744,16.5,0.0035399640648717057,False,False,False,False,False
5,541,50,50,1.0,9.787938697660207e-15,1,0.0,0.16,10.0,2.373369081276625e-15,True,False,False,False,False
6,302,55,53,1.0,3.7642555899254e-15,1,0.0,0.3090909090909091,5.0,2.333706621564806e-15,True,False,False,False,True
7,241,57,6,1.0,5.913211079677149e-15,1,0.0,0.2631578947368421,41.0,3.325966770515251e-15,True,False,False,False,True
8,804,74,55,1.0,8.471199160536215e-15,1,0.0,0.13513513513513514,15.0,6.863846615980859e-15,True,False,False,False,False
9,874,29,39,1.0,2.8620397984001016e-15,1,0.0,0.034482758620689655,22.0,2.073207194796736e-15,True,False,False,False,False
10,711,31,48,1.0,5.639391887232434e-15,1,0.0,0.16129032258064516,12.0,4.587589686048487e-15,True,False,False,False,False
11,1798,58,56,0.998773961580618,0.0226454300550724,1,0.3448275862068966,0.10344827586206896,30.5,0.02778241224070837,False,False,False,False,False
12,206,37,35,1.0,2.863413395460329e-15,1,0.0,0.10810810810810811,4.0,1.8026539413339286e-15,True,False,False,True,False
13,1561,150,53,1.0,4.581855665248352e-15,1,0.0,0.06666666666666667,26.0,2.67884331961649e-15,True,False,False,False,False
14,206,70,42,0.9986800795645028,0.0208718570988388,4,0.05714285714285714,0.5,4.0,0.03996437046406367,False,True,False,True,True
15,322,66,34,0.9999005879033426,0.0082271940211891,1,0.030303030303030304,0.25757575757575757,6.0,0.010018644729974026,False,False,False,False,True
16,296,51,47,1.0,4.929391031861708e-15,1,0.0,0.27450980392156865,6.0,3.9008248229442924e-15,True,False,False,False,True
17,877,105,45,0.9954941946565454,0.0380759576658498,1,0.02857142857142857,0.26666666666666666,17.0,0.014032545030269348,False,False,False,False,True
18,227,24,33,0.9992301018704572,0.0121559580601444,2,0.08333333333333333,0.25,5.0,0.020060736747042725,False,True,False,False,False
19,543,50,48,0.9998850612927516,0.0038105589779764,1,0.02,0.02,9.5,0.001471996928947752,False,False,False,False,False
