restaurant_id,n_obs,n_products,n_days,r_squared,rmse_log_points,n_components
1,577,42,48,1.0,3.994955831513158e-15,1
2,390,55,45,0.9989907618054644,0.017035301780448195,1
3,592,83,56,0.9999494637137984,0.0040641964234155665,1
4,901,63,48,0.999284010026666,0.016708918740201598,1
5,541,50,50,1.0,9.787938697660207e-15,1
6,302,55,53,1.0,3.7642555899254e-15,1
7,241,57,6,1.0,5.913211079677149e-15,1
8,804,74,55,1.0,8.471199160536215e-15,1
9,874,29,39,1.0,2.8620397984001016e-15,1
10,711,31,48,1.0,5.639391887232434e-15,1
11,1798,58,56,0.9987739615806179,0.022645430055072475,1
12,206,37,35,1.0,2.863413395460329e-15,1
13,1561,150,53,1.0,4.581855665248352e-15,1
14,206,70,42,0.9986800795645029,0.02087185709883885,4
15,322,66,34,0.9999005879033426,0.008227194021189115,1
16,296,51,47,1.0,4.929391031861708e-15,1
17,877,105,45,0.9954941946565454,0.038075957665849806,1
18,227,24,33,0.9992301018704571,0.012155958060144401,2
19,543,50,48,0.9998850612927515,0.0038105589779764424,1
20,2158,82,57,0.9993837096003869,0.014823117462295664,1
21,659,60,56,1.0,2.8128715331864033e-15,1
22,1053,99,48,0.998279257015688,0.0300270465021822,1
23,240,46,40,1.0,8.309515168807946e-15,1
24,1064,82,54,0.9978703185792622,0.032731982769217835,1
25,328,57,55,1.0,2.886508261042641e-15,1
26,896,36,47,0.9999816108493407,0.0013961356342401027,1
27,345,49,46,1.0,3.936528656281749e-15,1
28,258,41,34,0.9965376286749014,0.027685515928532873,1
29,250,59,48,0.999737210070822,0.008713767684086242,1
30,361,30,37,0.9995964836870364,0.008001786921289677,1
31,1116,91,56,1.0,3.7485926145853904e-15,1
32,395,65,45,1.0,3.493351321596523e-15,1
33,639,41,56,1.0,4.695569220769885e-15,1
34,1801,43,56,1.0,1.786758624872169e-15,1
35,407,52,36,1.0,3.673035965709986e-15,1
36,1002,124,56,0.9971027520862477,0.03822988003495635,1
37,508,81,54,0.9965394714172316,0.03452225735442673,1
38,235,52,42,0.9998913360129487,0.00909955968004957,1
39,267,64,46,0.9998123601938261,0.010473625115823613,2
40,1506,79,56,0.9630375409741418,0.13289833712431137,1
41,549,70,52,1.0,3.37903015735159e-15,1
42,302,70,37,1.0,2.858358586586422e-15,1
43,217,38,23,1.0,3.830616062739991e-15,1
44,277,80,51,1.0,3.8672249306345215e-15,1
45,584,65,53,1.0,3.613033552586791e-15,1
46,625,38,45,1.0,5.037794268668462e-15,1
47,470,71,42,1.0,4.818779558925627e-15,1
48,858,31,52,1.0,5.637987706687299e-15,1
49,3043,96,56,0.9998045842355466,0.008622642750756537,1
50,294,53,41,0.999452564695196,0.011781378270454557,1
